"","gender","age_group"
"1604",1,3
"1605",NA,NA
"1606",1,2
"1607",1,6
"1608",1,4
"1609",1,3
"1610",1,5
"1611",1,2
"1612",1,3
"1613",1,5
"1614",1,5
"1615",1,4
"1616",1,4
"1617",1,2
"1618",1,4
"1619",1,4
"1620",1,5
"1621",1,3
"1622",NA,NA
"1623",1,4
"1624",1,3
"1625",1,4
"1626",1,4
"1627",1,6
"1628",1,5
"1629",1,2
"1630",1,4
"1631",1,6
"1632",1,4
"1633",1,2
"1634",1,3
"1635",1,3
"1636",1,3
"1637",1,4
"1638",1,4
"1639",1,5
"1640",1,5
"1641",1,4
"1642",1,4
"1643",1,4
"1644",1,4
"1645",1,4
"1646",1,4
"1647",1,4
"1648",NA,NA
"1649",1,3
"1650",1,4
"1651",1,5
"1652",1,2
"1653",1,3
"1654",1,4
"1655",1,4
"1656",2,5
"1657",1,3
"1658",1,3
"1659",1,4
"1660",1,4
"1661",1,3
"1662",1,5
"1663",1,5
"1664",1,5
"1665",1,5
"1666",1,3
"1667",1,4
"1668",1,4
"1669",1,4
"1670",1,6
"1671",1,3
"1672",1,4
"1673",1,4
"1674",1,4
"1675",1,2
"1676",1,6
"1677",1,4
"1678",1,4
"1679",1,5
"1680",NA,NA
"1681",1,2
"1682",1,6
"1683",1,4
"1684",NA,NA
"1685",1,2
"1686",1,2
"1687",1,3
"1688",NA,NA
"1689",1,5
"1690",1,4
"1691",1,2
"1692",1,3
"1693",1,2
"1694",1,5
"1695",NA,NA
"1696",NA,NA
"1697",1,3
"1698",1,1
"1699",1,3
"1700",1,4
"1701",1,3
"1702",1,6
"1703",1,4
"1704",1,4
"1705",1,5
"1706",1,4
"1707",1,3
"1708",1,4
"1709",1,5
"1710",1,4
"1711",1,5
"1712",1,3
"1713",1,4
"1714",1,3
"1715",1,4
"1716",1,2
"1717",1,3
"1718",1,5
"1719",1,5
"1720",1,5
"1721",1,3
"1722",1,3
"1723",1,5
"1724",1,4
"1725",1,4
"1726",1,3
"1727",1,4
"1728",2,2
"1729",1,4
"1730",1,2
"1731",1,4
"1732",1,4
"1733",1,4
"1734",1,4
"1735",1,2
"1736",3,4
"1737",1,3
"1738",1,5
"1739",1,1
"1740",1,3
"1741",NA,NA
"1742",1,4
"1743",NA,NA
"1744",NA,NA
"1745",1,3
"1746",1,5
"1747",1,4
"1748",1,3
"1749",1,4
"1750",2,4
"1751",1,3
"1752",1,4
"1753",1,4
"1754",1,4
"1755",1,3
"1756",1,4
"1757",1,3
"1758",1,5
"1759",1,6
"1760",1,4
"1761",1,5
"1762",1,1
"1763",1,4
"1764",1,3
"1765",NA,NA
"1766",1,3
"1767",1,4
"1768",1,2
"1769",NA,NA
"1770",1,5
"1771",1,5
"1772",1,6
"1773",1,5
"1774",1,4
"1775",1,3
"1776",1,2
"1777",NA,NA
"1778",1,3
"1779",1,2
"1780",1,2
"1781",1,4
"1782",1,4
"1783",1,5
"1784",1,6
"1785",1,2
"1786",1,5
"1787",1,4
"1788",1,3
"1789",1,4
"1790",1,4
"1791",1,5
"1792",1,5
"1793",1,4
"1794",1,4
"1795",1,4
"1796",1,4
"1797",1,4
"1798",1,3
"1799",1,2
"1800",1,4
"1801",1,3
"1802",1,5
"1803",1,5
"1804",1,4
"1805",1,4
"1806",1,2
"1807",NA,NA
"1808",1,3
"1809",1,4
"1810",1,3
"1811",1,6
"1812",1,3
"1813",1,1
"1814",1,6
"1815",1,4
"1816",1,4
"1817",1,4
"1818",1,4
"1819",1,5
"1820",1,2
"1821",1,3
"1822",1,1
"1823",1,4
"1824",1,2
"1825",1,4
"1826",1,4
"1827",1,3
"1828",1,4
"1829",NA,NA
"1830",1,5
"1831",1,4
