"","official_perl_cert_for_me","official_perl_cert_for_others","perl_cert_comments"
"623",7,6,"I haven't the foggiest on how to implement this (and have no experience with Java or .NET certifications), but it sounds *awesome*. There are so many people out there with Perl on there resumes right now, terms like 'intermediate' and 'functional' have subjective meanings, etc, and being able to differentiate would be extremely valuable."
"624",3,3,""
"625",2,2,"Certifications are useless as people who hire based on them have no technical skill to appraise whether certificate is useful indicator of programmers skill. They purely just provide money to certificate program makers."
"626",1,1,""
"627",NA,NA,""
"628",1,1,""
"629",NA,NA,""
"630",NA,NA,""
"631",1,5,""
"632",7,6,"No Perl certification leads to poor CPAN modules!  A resume cannot list ""Perl Certified"" so instead a programmer creates a CPAN module just for the purpose of saying ""CPAN Contributor"" to display some Perl expertise.  "
"633",3,1,""
"634",1,1,""
"635",NA,NA,""
"636",4,6,""
"637",NA,NA,""
"638",4,5,""
"639",5,5,""
"640",2,2,"Nah, why bother.  Certifications are for corporations, but Perl is Open Source.  Why would a Open Source language like Perl need a certification for?  Marketing Perl to corporations would be the only reason to bother with certification.  Plus, the certification could hurt Perl if it doesn't represent what Perl Programmers actually need/should know."
"641",NA,NA,""
"642",2,2,""
"643",2,1,""
"644",5,5,"To me, any certification will probably be more focused on the general ideas of programming, with less emphasis on the perl way of doing said general things.  But I'm not a seasoned programmer."
"645",3,6,"For me, unnecessary. "
"646",3,5,"Probably needed to allow HR folks to respect the skillset and feel comfortable filtering people based on it. No technical merit whatsoever."
"647",4,4,"Not sure why it would be useful"
"648",2,2,""
"649",5,6,""
"650",3,6,""
"651",NA,NA,""
"652",5,7,""
"653",4,5,"I'm personally not interested but it would be useful in having Perl certification exist as a benchmark for Perl knowledge. Currently the only way to measure someone's ability in Perl is to measure the level of unkeptness of their hair."
"654",3,1,""
"655",NA,NA,""
"656",4,4,""
"657",2,2,"Certification seems like a waste of time to me since I've never yet been hired or passed over on the basis of my certifications or lack of them."
"658",1,1,""
"659",NA,NA,""
"660",2,2,"certifications are worthless, IMO"
"661",NA,NA,""
"662",NA,NA,""
"663",1,6,""
"664",6,6,"please make it affordable[CR]exams during YAPCs?"
"665",4,6,"Not something that I would get myself, but some companies are really stuck on certificates as a way of showing employee progress and at least competency for new hires, so for those folks it would be useful."
"666",2,2,"Are you sane? The community is already shrinking."
"667",1,1,""
"668",5,6,""
"669",2,6,""
"670",6,7,""
"671",1,1,""
"672",6,6,""
"673",NA,NA,""
"674",3,3,""
